XMNNbzXWOyOwzz1+?=z>?+11xjz+=1lzz<1??<;<:~__:~~~__~<>?+<?<~_:~:<:::::::;<~~<<(+<+1+uwWWU0C>~_.``` ``
MMMMczXwZCzlzOl11+z1+?;?1lv<<+kzxz1?><;<~~~~~___~~_~~~~<~<_~~__~~:::::<::<_JuAgQKUUVwrZI>:~~__`` ```
WWHHHz===v<z?1z<<+l?zzz1z<<?zzllzzz1<<<<:~_~~~~~(<~~~~~~~~~_~~~~~:::~:(+O&X@HH9C====1<<<_~~_.  .  ``
ZZC<<<+O+<++?1<1+?<+<<v1z1zzzOOCOv<<::~~~~~(~__~__~~__~~..~~~-_~~((+uAXHHBY1<????=1<<<~_~~.`   ` ``
<<~~~~(jWm&+>???1c:<<<1?1tzOOi+><<<(:_~:_~<~....~_..~.~~_.~__(++<jQHMB61>;;;;;<><;;:<___ ._ `` ````
.....~(XWWHHAz+z<+<~~(+<+1=1?<>+<~(-__~<~~~~~~~~_~._:__~((+xjdW9TTC<<<<:::::::::::~_..``.```  ..____
....~_<zXXWWHHms+?>(z=++-(+1<:;_:_::::++__~__~_(((++&&ugHM97<<<<:::::~::~~~:~~:~~~_______(((((+;<;>;
`` ..._~<1OXWWWHHmx+zszI<<<<;(<(<+zz++<++zOwAQQQQHMH9TC<<;::::~~~~~~~~~~~~~~~~:~~~(>>?????????==11==
````` `_~_~<zXUXWWkkHHmwgaQmAQQQkAQqHHkHQHMMH9UT1<<<<<::~~~~~~~~~~~~~~~.~~~~~~~~~::+zz=====1<<<<:((<
` ``````` _~_(+OXZWWWWHHHHHHHHHMMMMMHHWUVI<>><;::::~~~~~~~~~~~~~~~.__..........~~~~(<<<<<<<<;<!~_``
``` `````` ``` _<?COOOOOOOOOOOTTOC1+<>;<;;;::::~~~~~~~~~~~~~~.~..~_.................~~~~~~~` ```````
 ` `` `````````````` _~<<<;;;;;:<;<~~<::~::~~~~~~~~~~~~.~........_~..............._`` ```````````` `
`` ````````````````````````` `_~~<<~:~_~~~~~~~~~~~~~......................    ```````````````` ``  `
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
``````````````````````````````````````````````````````` ~_``````````````````````````````````````````
